year,穀類,魚介類,肉類,乳卵類,野菜・海藻,果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,電気代,ガス代,他の光熱,上下水道料,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通,自動車等関係費,通信,授業料等,教科書・学習参考教材,補習教育,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費
2019年1月,99.3,101,98.9,98.1,99.5,98.5,100.5,96.5,98.5,100.3,99.5,97,97.3,99.9,99.9,95.1,104.6,102.1,108.5,98.6,96.2,96.2,96.2,97.4,96.1,96.7,94.6,97.1,94.5,97.5,96.9,98.8,96.9,96.9,95.7,98.6,98.7,100,97.2,100.2,101.6,117.4,98.4,97.3,97.7,96,97.4,100.7,97.5,98.8,95.7,96,114.3
2019年2月,99.3,99.8,98.7,97.6,96.2,98.5,100.8,96.2,98.7,100.3,99.1,97,97.4,99.9,99.9,95.2,105.4,102.8,107.6,98.6,98,95.7,96.3,96.9,95.9,96.9,95.8,97.3,95.7,96.2,95.1,98.7,97.5,95.8,96,98.6,98.8,100,96.9,100.1,101.5,117.4,98.4,97.4,99.1,96.6,97.4,101.5,97.6,98.6,95.6,96,114.3
2019年3月,99.3,99.7,98.9,97.9,93.3,96.7,100.3,96.7,98.7,100.4,99.1,97.2,97.3,99.9,99.9,95.1,105.6,103.1,108.6,98.6,97.3,95.8,95.4,96.8,95.9,96.9,99.7,97.7,99.8,95.2,93.8,98.3,97.8,99.7,96.2,98.8,99,100,98,100.6,101.4,117.4,98.4,97.6,98.3,97.5,97.6,100.5,97.7,98.8,96,96,114.3
2019年4月,99.7,99.6,98.8,99.7,95.2,88.9,100.6,96.8,99.3,100.2,98.9,97.3,97.7,99.9,100,95.7,105,103,108.9,98.7,98.9,95.9,96.7,96.5,96.2,97.7,99.9,98.2,99.9,101.4,102.6,98.4,98.2,99.9,96.5,98.7,99.1,100,97.2,100.9,101,118.1,98.5,98.1,98.1,97.2,97.8,102.6,97.7,98.7,97.3,96,114.2
2019年5月,99.8,99.6,98.7,100.3,93.6,93.6,100.6,97,99.2,100.4,99.1,97.4,97.8,99.9,100,95.8,104.4,102.7,111.7,98.8,100.6,96.6,96.7,96.8,96.7,97.7,99.8,97.7,99.8,101,102.2,98.1,98.3,99.9,96.5,98.6,99.3,100,97.3,101.5,99.8,118.1,98.5,98.2,98.2,97.7,98.1,101.4,97.8,98.6,97.2,96,114.2
2019年6月,100,99.5,98.9,100.2,93.2,97.2,100.9,97.7,99.2,100.5,98.9,97.4,97.8,99.9,100,96,103.7,102.3,111.1,98.8,98.4,96.1,97.1,96.7,96.7,97.7,99.2,97.7,99.3,100.3,101.2,98.3,98.1,99.7,96.7,98.7,99.3,100,96.9,101.1,97.4,118.1,98.5,98.2,97.5,96.7,98.3,101.9,97.8,98.2,97.1,96,114.2
2019年7月,100.2,99.8,99.2,100.3,93.9,94.2,101,98.7,99.1,100.4,98.7,97.5,98,99.9,100,96.3,103.4,101.6,110.2,98.8,96.7,96.5,96.7,96.8,97.2,97.7,96.6,98.5,96.5,97.4,97,98.4,98,98.8,96.8,99,99.1,100,98.6,100.7,99.2,118.1,98.5,98.2,96.5,96.4,98.3,101.3,97.8,98.1,96.9,96,114.2
2019年8月,100,99.9,99.3,100.1,96.2,95,100.6,98.5,99.3,100.4,98.2,97.5,98,99.9,100,96.2,102.8,100.7,109.8,98.8,97.4,95.8,97.4,96.3,97.5,97.7,95.7,98.1,95.6,95,93.7,97.9,97.8,98.3,96.9,99,98.9,100,100,100.6,99.2,118.1,98.5,98.1,95.6,97.3,98.7,105.3,98.1,98,97.6,96,114.2
2019年9月,100.3,102.8,99,100.5,101.7,92.9,100.4,98.9,99.7,100.8,98,97.6,98,99.9,100,96.4,102.1,99.8,109.4,98.8,97.5,97.3,97.6,96.6,97.7,97.7,100,97.6,100.1,102,103.6,98.3,98,99,97,98.9,98.8,100,97.5,100.3,98.7,118.1,98.5,98.3,96.2,97.8,98.7,101.9,97.9,98.2,97.4,96,114.2
2019年10月,100.7,101.8,99.2,100.5,100.1,93.2,100.4,99.1,100,100.7,101,99.6,99.8,99.9,100,99.6,101.5,99.6,111.7,98.8,100.2,100,100.3,98.8,99.9,99.7,101.4,100.1,101.5,102.8,104.1,99.9,100.3,102.4,99.4,100.4,100.3,100.4,99.5,102,98.1,102.9,99.5,99.4,100.3,99.5,99.4,104.3,99.8,100.3,99.2,97.7,100
